matchId,teamId,role,opponentId,score,result,tries,metresGained,carries,defendersBeaten,cleanBreaks,passes,offloads,turnoversConceded,tackles,missedTackles,turnoversWon,kicksInPlay,conversions,conversionAccuracy%,penaltyGoals,penaltyGoalAccuracy%,dropGoals,dropGoalAccuracy%,rucksWon,rucksLost,rucksWon%,maulsWon,lineoutsWon,lineoutsLost,lineoutsWon%,scrumsWon,scrumsLost,scrumsWon%,penaltiesConceded,redCards,yellowCards,possession%,q4%,q3%,q2%,q1%
933874,91,away,96,31,win,4,622,145,50,14,223,11,18,136,18,7,36,4,100,3,33.3,0,,105,7,93.8,2,13,4,76.5,2,2,33.3,11,0,1,52,0.9,10.8,22.9,17.3
933874,96,home,91,10,loss,1,445,120,18,1,166,3,20,174,50,8,43,1,100,1,0,1,100,96,6,94.1,2,13,2,86.7,2,0,66.7,9,0,1,48,6.9,26.8,9.1,5.2
933875,150,away,200,31,win,3,362,86,20,6,137,4,16,129,21,6,21,3,66.7,4,100,0,,62,2,96.9,1,12,2,85.7,6,1,75,7,0,0,48,1.6,10.4,23.5,8.2
933875,200,home,150,25,loss,3,434,117,21,7,171,11,11,119,20,6,15,3,66.7,3,66.7,0,,85,6,93.4,1,8,1,88.9,10,1,90.9,14,0,0,52,7.1,43.7,3.8,1.6
933876,441,away,3600,36,win,6,540,114,27,9,153,14,10,116,37,4,14,6,50,0,,0,,72,3,96,2,8,1,88.9,7,2,63.6,9,0,0,52,8.7,9.8,18.6,10.4
933876,3600,home,441,34,loss,5,469,115,37,6,203,15,15,125,27,5,14,5,60,1,100,0,,77,2,97.5,4,15,0,100,4,1,80,11,0,1,48,18.6,27.3,6.6,0
933877,93,away,95,60,win,8,782,140,38,10,172,19,17,155,25,6,20,8,87.5,2,100,0,,83,6,93.3,4,11,3,78.6,4,0,66.7,13,0,2,46,1.8,10.9,16.8,15
933877,95,home,93,20,loss,2,455,138,25,5,198,14,19,151,38,9,25,2,100,2,100,0,,101,6,94.4,6,14,1,93.3,7,0,100,12,0,0,54,18.6,25,5,6.8
933878,94,away,250,47,win,6,693,125,32,8,168,18,14,101,20,12,23,5,60,3,100,0,,75,7,91.5,7,14,2,87.5,6,0,85.7,12,0,1,57,3.5,17.3,24.9,9.2
933878,250,home,94,13,loss,1,471,97,20,4,93,11,19,122,32,9,22,1,100,2,100,0,,56,6,90.3,4,16,1,94.1,6,1,85.7,16,0,2,43,9.2,20.2,14.5,1.2
