matchId,competition,season,date,referee,venue
933874,205,2023,2023-02-24,Ben O'Keeffe,Orangetheory Stadium
933875,205,2023,2023-02-24,Nic Berry,Allianz Stadium
933876,205,2023,2023-02-25,James Doleman,Mt Smart Stadium
933877,205,2023,2023-02-25,Paul Williams,Forsyth Barr Stadium
933878,205,2023,2023-02-25,Angus Gardner,Queensland Country Bank Stadium
933879,205,2023,2023-02-25,Damon Murphy,HBF Park
933880,205,2023,2023-03-03,Nic Berry,AAMI Park
933881,205,2023,2023-03-03,James Doleman,AAMI Park
933882,205,2023,2023-03-04,Angus Gardner,AAMI Park
933883,205,2023,2023-03-04,Jordan Way,AAMI Park
933884,205,2023,2023-03-05,Ben O'Keeffe,AAMI Park
933885,205,2023,2023-03-05,Paul Williams,AAMI Park
933886,205,2023,2023-03-10,Paul Williams,FMG Stadium Waikato
933887,205,2023,2023-03-10,Angus Gardner,AAMI Park
933888,205,2023,2023-03-11,Brendon Pickerill,Churchill Park
933889,205,2023,2023-03-11,Nic Berry,Sky Stadium
933890,205,2023,2023-03-11,James Doleman,GIO Stadium
933891,205,2023,2023-03-11,Jordan Way,HBF Park
933892,205,2023,2023-03-17,Brendon Pickerill,Sky Stadium
933893,205,2023,2023-03-18,Dan Waenga,FMG Stadium Waikato
933894,205,2023,2023-03-18,James Doleman,Eden Park
933895,205,2023,2023-03-18,Graham Cooper,GIO Stadium
933896,205,2023,2023-03-19,Angus Mabey,Invercargill Rugby Park
933897,205,2023,2023-03-19,Reuben Keane,Suncorp Stadium
933898,205,2023,2023-03-24,Brendon Pickerill,Orangetheory Stadium
933899,205,2023,2023-03-24,Jordan Way,Allianz Stadium
933900,205,2023,2023-03-25,Paul Williams,Forsyth Barr Stadium
933901,205,2023,2023-03-25,Reuben Keane,Mt Smart Stadium
933902,205,2023,2023-03-25,Graham Cooper,AAMI Park
933903,205,2023,2023-03-26,Ben O'Keeffe,Eden Park
933904,205,2023,2023-03-31,Ben O'Keeffe,Mt Smart Stadium
933905,205,2023,2023-03-31,Damon Murphy,Suncorp Stadium
933906,205,2023,2023-04-01,James Doleman,HFC Bank Stadium
933907,205,2023,2023-04-01,Angus Gardner,FMG Stadium Waikato
933908,205,2023,2023-04-01,Nic Berry,GIO Stadium
933909,205,2023,2023-04-02,Paul Williams,Central Energy Trust Arena
933910,205,2023,2023-04-07,James Doleman,Orangetheory Stadium
933911,205,2023,2023-04-07,Ben O'Keeffe,Suncorp Stadium
933912,205,2023,2023-04-08,Damon Murphy,Forsyth Barr Stadium
